Number,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
0,Martine of Martine's Table,Amsterdam,['French'; 'Dutch'; 'European'],1.0,5.0,$$ - $$$,136.0,[['Just like home'; 'A Warm Welcome to Wintry Amsterdam']; ['01/03/2018'; '01/01/2018']],/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html,d11752080
1,De Silveren Spiegel,Amsterdam,['Dutch'; 'European'; 'Vegetarian Friendly'; 'Gluten Free Options'],2.0,4.5,$$$$,812.0,[['Great food and staff'; 'just perfect']; ['01/06/2018'; '01/04/2018']],/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html,d693419
2,La Rive,Amsterdam,['Mediterranean'; 'French'; 'International'; 'European'; 'Vegetarian Friendly'; 'Vegan Options'],3.0,4.5,$$$$,567.0,[['Satisfaction'; 'Delicious old school restaurant']; ['01/04/2018'; '01/04/2018']],/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html,d696959
3,Vinkeles,Amsterdam,['French'; 'European'; 'International'; 'Contemporary'; 'Vegetarian Friendly'; 'Vegan Options'; 'Gluten Free Options'],4.0,5.0,$$$$,564.0,[['True five star dinner'; 'A superb evening of fine dining; hospitali...']; ['12/20/2017'; '12/17/2017']],/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229
4,Librije's Zusje Amsterdam,Amsterdam,['Dutch'; 'European'; 'International'; 'Vegetarian Friendly'; 'Vegan Options'; 'Gluten Free Options'],5.0,4.5,$$$$,316.0,[['Best meal.... EVER'; 'super food experience']; ['01/06/2018'; '01/04/2018']],/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html,d6864170
265,Grill House Vassilis,Athens,['Mediterranean'; 'Greek'; 'Vegetarian Friendly'],266.0,4.5,$$ - $$$,70.0,[['Feel like part of the Family'; 'Friendly owner']; ['11/26/2017'; '11/15/2017']],/Restaurant_Review-g189400-d3574655-Reviews-Grill_House_Vassilis-Athens_Attica.html,d3574655
266,Athenian Callirhoe Hotel Roof Garden,Athens,['Mediterranean'; 'Greek'],267.0,4.0,$$ - $$$,128.0,[['can't beat the view'; 'Very convenient location']; ['11/05/2017'; '09/23/2017']],/Restaurant_Review-g189400-d2400913-Reviews-Athenian_Callirhoe_Hotel_Roof_Garden-Athens_Attica.html,d2400913
267,Hermion,Athens,['Mediterranean'; 'Greek'; 'Vegetarian Friendly'; 'Vegan Options'],268.0,3.5,$$ - $$$,419.0,[['Very good food'; 'The best Greek salad we had in Athens']; ['01/03/2018'; '12/01/2017']],/Restaurant_Review-g189400-d1434697-Reviews-Hermion-Athens_Attica.html,d1434697
268,Athens Status Acropolis Restaurant,Athens,['Mediterranean'; 'European'; 'Greek'; 'Vegan Options'; 'Vegetarian Friendly'],269.0,4.5,$$ - $$$,229.0,[['Good food attentive service fantastic view...'; 'We to met George but no regrets']; ['10/24/2017'; '10/06/2017']],/Restaurant_Review-g189400-d8114696-Reviews-Athens_Status_Acropolis_Restaurant-Athens_Attica.html,d8114696
269,Prigkipas,Athens,['Greek'; 'Fast Food'; 'Barbecue'; 'Grill'; 'Steakhouse'],270.0,5.0,$,26.0,[['True 'farm to table' food'; 'Very friendly; very tasty']; ['10/24/2017'; '07/07/2017']],/Restaurant_Review-g189400-d12196869-Reviews-Prigkipas-Athens_Attica.html,d12196869
